0,k,v
0, qa , Q&A 
1,&#39;,'
2,andreas miller,Andreas Mueller
3,github,GitHub
4,getter channel,Gitter channel
5,gator channel,Gitter channel
6,hiroku,Heroku
7,ipython,IPython
8,javascript,JavaScript
9,jupiter,Jupyter
10,linkedin,LinkedIn
11,mac os,Mac OS
12,macbook,MacBook
13,marco guerrelli,Marco Gorelli
14,marco gorilla,Marco Gorelli
15,matt brands,Matt Brems
16,matt brims,Matt Brems
17,maddie,Matti
18,maddie pikas,Matti Picus
19,mclachlan,McLachlan
20,miriam's webster's,Merriam-Webster
21,ridhoo bhatnagar,Mridu Bhatnagar
22,okay,OK
23,power bi,Power BI
24,pi ladies,PyLadies
25,pythonpath,Python path
26,q a ,Q&A 
27,rachmas,Reshama
28,rashama,Reshama
29,rashmi,Reshama
30,rashma,Reshama
31,reshamma,Reshama
32,reshma,Reshama
33,reishima,Reshama
34,rashmi shaikh,Reshama Shaikh
35,cborn,Seaborn
36,seabourn,Seaborn
37,streamlight,Streamlit
38,streamlets,Streamlit
39,streamlab api,Streamlit API
40,u.s,US
41,west mckinney,Wes McKinney
42,whatsapp,WhatsApp
43,youtube,YouTube
44,condor,conda
45,condor forge,conda-forge
46,hi ladies,PyLadies
47,pi data,PyData
48,sk learn,sk-learn
49,dave umbrella,Data Umbrella
50,vs code,VSCode
51,dusk,Dask
52,java script,JavaScript
53,washington dc,Washington DC
54,reishma,Reshama
55,dash cluster,Dask cluster
56,dasc,Dask
57,darsk,Dask
58,dust.dataframe,dask.dataframe
59,darth's,Dask
60,psychic learn,scikit-learn
61,xg boost,XGBoost
62,ipad,iPad'
63,iphone,iPhone'
64,coyle,coil
65,job lib,joblib
66,dars,Dask
67,pandas data frame,Pandas DataFrame
